1776,249
1160,299
1049,234
655,213
1321,129
726,261
950,217
943,164
1254,346
1895,654
1869,419
1675,466
1100,233
736,338
205,431
1102.8,122.4
949.2,217.2
1321.2,38.4
1294.8,319.2
448.8,254.4
1477.2,634.8
1894.8,654
1730.4,98.4
1798.8,499.2
1257.6,175.2
1075.2,356.4
153.6,639.6
585.6,152.4
858,451.2
438,124.8
205.2,430.8
445.2,510
331.2,415.2
1221.12,361.44
1294.56,319.68
465.12,254.88
1321.92,370.08
1720.8,672.48
1720.8,99.36
1496.16,449.28
1044,171.36
1257.12,174.24
1107.36,352.8
514.08,702.72
154.08,639.36
403.2,764.64
426.24,610.56
639.36,365.76
204.48,430.56
444.96,509.76
335.52,414.72
260.64,331.2
1726.27,620.352
1245.89,777.6
1589.76,283.392
1772.93,248.832
1721.09,100.224
1881.79,525.312
1099.01,233.28
1257.98,174.528
1126.66,490.752
1251.07,286.848
513.216,703.296
592.704,639.36
872.64,603.072
941.76,162.432
825.984,157.248
437.184,124.416
203.904,430.272
89.856,438.912
255.744,330.048
127.872,406.08
89.1648,439.603
259.2,331.776
514.253,702.951
590.976,640.742
922.752,485.222
756.864,501.811
750.643,292.378
534.989,329.702
445.824,510.106
1074.12,636.595
870.912,603.418
1101.08,354.586
1271.12,599.271
1727.31,620.006
1478.48,634.522
1629.85,474.854
1495.07,449.971
1325.03,528.768
1099.01,234.317
1053.39,182.477
955.93,157.594
1434.93,109.901
570.24,49.7664
431.309,167.962
437.53,124.416
315.187,136.858
445.409,510.106
246.344,632.033
515.082,701.706
592.22,639.498
1124.72,490.199
1094.86,355.83
1478.06,634.522
1801.54,497.664
1848.82,109.486
1721.92,99.5328
1261.58,363.295
1134.67,261.274
1099.84,124.416
855.982,189.112
818.657,201.554
943.073,161.741
828.611,104.509
627.057,109.486
1435.76,109.486
343.388,846.029
430.479,166.717
89.5795,437.944
811.192,358.318
534.989,328.458
1770.69,280.683
1651.25,409.08
1263.07,537.477
1054.05,182.145
1098.84,122.425
1021.21,149.299
818.16,200.061
958.501,155.271
752.468,155.271
519.561,185.131
624.071,107.495
534.491,95.5515
340.402,848.02
313.528,137.355
271.725,86.5936
340.402,845.631
1257.7,361.901
1666.18,404.9
856.38,186.325
781.134,297.404
942.377,161.243
1064.2,107.495
1436.86,107.495
1257.7,175.576
655.722,182.742
533.894,326.07
1035.54,354.735
1848.92,111.079
1272.03,598.391
